Date,Description,Amount,Balance
02/07/2026,DIRECT CREDIT KESTREL BUILD GROUP DEMO-1024,88000.00,172210.55
04/07/2026,MONTHLY ACCOUNT FEE,-15.00,172195.55
08/07/2026,TELSTRA CORPORATION BILL PAYMENT,-189.00,172006.55
11/07/2026,OSKO PAYMENT ASHGROVE PROPERTY TRUST,44000.00,216006.55
15/07/2026,BPAY AUSTRALIAN TAXATION OFFICE BAS Q4,-12500.00,203506.55
18/07/2026,MERIDIAN SURVEYING INV 4471,-9350.00,194156.55
22/07/2026,DIRECT CREDIT HARBOURLINE CONSTRUCTIONS,297000.00,491156.55
25/07/2026,SUPER GUARANTEE CONTRIBUTION,-8420.00,482736.55
29/07/2026,COASTAL CONCRETE SUPPLIES,-27500.00,455236.55
01/08/2026,PAYROLL WAGES FORTNIGHT ENDING 31 JUL,-31200.00,424036.55
05/08/2026,EFTPOS PURCHASE 4829 HARDWARE MITRE,-482.30,423554.25
07/08/2026,XERO AUSTRALIA SUBSCRIPTION,-79.00,423475.25
12/08/2026,TRANSFER FROM RELATED ENTITY,25000.00,448475.25
14/08/2026,BANK FEE INTERNATIONAL TRANSFER,-32.50,448442.75
